SMITH,2501922 ,1.006,1
JOHNSON,2014470 ,0.81,2
WILLIAMS,1738413 ,0.699,3
JONES,1544427 ,0.621,4
BROWN,1544427 ,0.621,5
DAVIS,1193760 ,0.48,6
MILLER,1054488 ,0.424,7
WILSON,843093 ,0.339,8
MOORE,775944 ,0.312,9
TAYLOR,773457 ,0.311,10
ANDERSON,773457 ,0.311,11
THOMAS,773457 ,0.311,12
JACKSON,770970 ,0.31,13
WHITE,693873 ,0.279,14
HARRIS,683925 ,0.275,15
MARTIN,678951 ,0.273,16
THOMPSON,669003 ,0.269,17
GARCIA,631698 ,0.254,18
MARTINEZ,581958 ,0.234,19
ROBINSON,579471 ,0.233,20
CLARK,574497 ,0.231,21
RODRIGUEZ,569523 ,0.229,22
LEWIS,562062 ,0.226,23
LEE,547140 ,0.22,24
WALKER,544653 ,0.219,25
HALL,497400 ,0.2,26
ALLEN,494913 ,0.199,27
YOUNG,479991 ,0.193,28
HERNANDEZ,477504 ,0.192,29
KING,472530 ,0.19,30
WRIGHT,470043 ,0.189,31
LOPEZ,465069 ,0.187,32
HILL,465069 ,0.187,33
SCOTT,460095 ,0.185,34
GREEN,455121 ,0.183,35
ADAMS,432738 ,0.174,36
BAKER,425277 ,0.171,37
GONZALEZ,412842 ,0.166,38
NELSON,402894 ,0.162,39
CARTER,402894 ,0.162,40
MITCHELL,397920 ,0.16,41
PEREZ,385485 ,0.155,42
ROBERTS,380511 ,0.153,43
TURNER,378024 ,0.152,44
PHILLIPS,370563 ,0.149,45
CAMPBELL,370563 ,0.149,46
PARKER,363102 ,0.146,47
EVANS,350667 ,0.141,48
EDWARDS,340719 ,0.137,49
COLLINS,333258 ,0.134,50
STEWART,330771 ,0.133,51
SANCHEZ,323310 ,0.13,52
MORRIS,310875 ,0.125,53
ROGERS,305901 ,0.123,54
REED,303414 ,0.122,55
COOK,298440 ,0.12,56
MORGAN,293466 ,0.118,57
BELL,290979 ,0.117,58
MURPHY,290979 ,0.117,59
BAILEY,286005 ,0.115,60
RIVERA,281031 ,0.113,61
COOPER,281031 ,0.113,62
RICHARDSON,278544 ,0.112,63
COX,273570 ,0.11,64
HOWARD,273570 ,0.11,65
WARD,268596 ,0.108,66
TORRES,268596 ,0.108,67
PETERSON,266109 ,0.107,68
GRAY,263622 ,0.106,69
RAMIREZ,261135 ,0.105,70
JAMES,261135 ,0.105,71
WATSON,256161 ,0.103,72
BROOKS,256161 ,0.103,73
KELLY,253674 ,0.102,74
SANDERS,248700 ,0.1,75
PRICE,246213 ,0.099,76
BENNETT,246213 ,0.099,77
WOOD,243726 ,0.098,78
BARNES,241239 ,0.097,79
ROSS,238752 ,0.096,80
HENDERSON,236265 ,0.095,81
COLEMAN,236265 ,0.095,82
JENKINS,236265 ,0.095,83
PERRY,233778 ,0.094,84
POWELL,231291 ,0.093,85
LONG,228804 ,0.092,86
PATTERSON,228804 ,0.092,87
HUGHES,228804 ,0.092,88
FLORES,228804 ,0.092,89
WASHINGTON,228804 ,0.092,90
BUTLER,226317 ,0.091,91
SIMMONS,226317 ,0.091,92
FOSTER,226317 ,0.091,93
GONZALES,216369 ,0.087,94
BRYANT,216369 ,0.087,95
ALEXANDER,211395 ,0.085,96
RUSSELL,211395 ,0.085,97
GRIFFIN,208908 ,0.084,98
DIAZ,208908 ,0.084,99
HAYES,206421 ,0.083,100
MYERS,206421 ,0.083,101
FORD,203934 ,0.082,102
HAMILTON,203934 ,0.082,103
GRAHAM,203934 ,0.082,104
SULLIVAN,201447 ,0.081,105
WALLACE,201447 ,0.081,106
WOODS,198960 ,0.08,107
COLE,198960 ,0.08,108
WEST,198960 ,0.08,109
JORDAN,193986 ,0.078,110
OWENS,193986 ,0.078,111
REYNOLDS,193986 ,0.078,112
FISHER,191499 ,0.077,113
ELLIS,191499 ,0.077,114
HARRISON,189012 ,0.076,115
GIBSON,186525 ,0.075,116
MCDONALD,186525 ,0.075,117
CRUZ,186525 ,0.075,118
MARSHALL,186525 ,0.075,119
ORTIZ,186525 ,0.075,120
GOMEZ,186525 ,0.075,121
MURRAY,184038 ,0.074,122
FREEMAN,184038 ,0.074,123
WELLS,181551 ,0.073,124
WEBB,179064 ,0.072,125
SIMPSON,174090 ,0.07,126
STEVENS,174090 ,0.07,127
TUCKER,174090 ,0.07,128
PORTER,171603 ,0.069,129
HUNTER,171603 ,0.069,130
HICKS,171603 ,0.069,131
CRAWFORD,169116 ,0.068,132
HENRY,169116 ,0.068,133
BOYD,169116 ,0.068,134
MASON,169116 ,0.068,135
MORALES,166629 ,0.067,136
KENNEDY,166629 ,0.067,137
WARREN,166629 ,0.067,138
DIXON,164142 ,0.066,139
RAMOS,164142 ,0.066,140
REYES,164142 ,0.066,141
BURNS,161655 ,0.065,142
GORDON,161655 ,0.065,143
SHAW,161655 ,0.065,144
HOLMES,161655 ,0.065,145
RICE,159168 ,0.064,146
ROBERTSON,159168 ,0.064,147
HUNT,156681 ,0.063,148
BLACK,156681 ,0.063,149
DANIELS,154194 ,0.062,150
PALMER,154194 ,0.062,151
MILLS,151707 ,0.061,152
NICHOLS,149220 ,0.06,153
GRANT,149220 ,0.06,154
KNIGHT,149220 ,0.06,155
FERGUSON,146733 ,0.059,156
ROSE,146733 ,0.059,157
STONE,146733 ,0.059,158
HAWKINS,146733 ,0.059,159
DUNN,144246 ,0.058,160
PERKINS,144246 ,0.058,161
HUDSON,144246 ,0.058,162
SPENCER,141759 ,0.057,163
GARDNER,141759 ,0.057,164
STEPHENS,141759 ,0.057,165
PAYNE,141759 ,0.057,166
PIERCE,139272 ,0.056,167
BERRY,139272 ,0.056,168
MATTHEWS,139272 ,0.056,169
ARNOLD,139272 ,0.056,170
WAGNER,136785 ,0.055,171
WILLIS,136785 ,0.055,172
RAY,136785 ,0.055,173
WATKINS,136785 ,0.055,174
OLSON,136785 ,0.055,175
CARROLL,136785 ,0.055,176
DUNCAN,136785 ,0.055,177
SNYDER,136785 ,0.055,178
HART,134298 ,0.054,179
CUNNINGHAM,134298 ,0.054,180
BRADLEY,134298 ,0.054,181
LANE,134298 ,0.054,182
ANDREWS,134298 ,0.054,183
RUIZ,134298 ,0.054,184
HARPER,134298 ,0.054,185
FOX,131811 ,0.053,186
RILEY,131811 ,0.053,187
ARMSTRONG,131811 ,0.053,188
CARPENTER,131811 ,0.053,189
WEAVER,131811 ,0.053,190
GREENE,131811 ,0.053,191
LAWRENCE,129324 ,0.052,192
ELLIOTT,129324 ,0.052,193
CHAVEZ,129324 ,0.052,194
SIMS,129324 ,0.052,195
AUSTIN,129324 ,0.052,196
PETERS,129324 ,0.052,197
KELLEY,129324 ,0.052,198
FRANKLIN,126837 ,0.051,199
LAWSON,126837 ,0.051,200
FIELDS,126837 ,0.051,201
GUTIERREZ,126837 ,0.051,202
RYAN,126837 ,0.051,203
SCHMIDT,126837 ,0.051,204
CARR,126837 ,0.051,205
VASQUEZ,126837 ,0.051,206
CASTILLO,126837 ,0.051,207
WHEELER,126837 ,0.051,208
CHAPMAN,124350 ,0.05,209
OLIVER,124350 ,0.05,210
MONTGOMERY,121863 ,0.049,211
RICHARDS,121863 ,0.049,212
WILLIAMSON,121863 ,0.049,213
JOHNSTON,121863 ,0.049,214
BANKS,119376 ,0.048,215
MEYER,119376 ,0.048,216
BISHOP,119376 ,0.048,217
MCCOY,119376 ,0.048,218
HOWELL,119376 ,0.048,219
ALVAREZ,119376 ,0.048,220
MORRISON,119376 ,0.048,221
HANSEN,116889 ,0.047,222
FERNANDEZ,116889 ,0.047,223
GARZA,116889 ,0.047,224
HARVEY,116889 ,0.047,225
LITTLE,114402 ,0.046,226
BURTON,114402 ,0.046,227
STANLEY,114402 ,0.046,228
NGUYEN,114402 ,0.046,229
GEORGE,114402 ,0.046,230
JACOBS,114402 ,0.046,231
REID,114402 ,0.046,232
KIM,111915 ,0.045,233
FULLER,111915 ,0.045,234
LYNCH,111915 ,0.045,235
DEAN,111915 ,0.045,236
GILBERT,111915 ,0.045,237
GARRETT,111915 ,0.045,238
ROMERO,111915 ,0.045,239
WELCH,109428 ,0.044,240
LARSON,109428 ,0.044,241
FRAZIER,109428 ,0.044,242
BURKE,109428 ,0.044,243
HANSON,106941 ,0.043,244
DAY,106941 ,0.043,245
MENDOZA,106941 ,0.043,246
